epoch,train_loss,train_reconstruction_loss,train_moe_loss,val_loss,val_reconstruction_loss,val_moe_loss,avg_lr
0,0.3686,0.3585,0.0102,0.1698,0.1598,0.0100,0.00005999
1,0.1997,0.1896,0.0101,0.1552,0.1452,0.0100,0.00018000
2,0.1837,0.1737,0.0101,0.1386,0.1286,0.0100,0.00028499
3,0.1714,0.1614,0.0100,0.1397,0.1297,0.0100,0.00029964
4,0.1648,0.1548,0.0100,0.1289,0.1188,0.0100,0.00029866
5,0.1622,0.1522,0.0100,0.1272,0.1172,0.0100,0.00029703
6,0.1601,0.1501,0.0100,0.1292,0.1192,0.0100,0.00029475
7,0.1566,0.1466,0.0100,0.1239,0.1139,0.0100,0.00029185
8,0.1565,0.1465,0.0100,0.1248,0.1148,0.0100,0.00028832
9,0.1544,0.1444,0.0100,0.1248,0.1148,0.0100,0.00028418
10,0.1534,0.1434,0.0100,0.1205,0.1105,0.0100,0.00027946
11,0.1527,0.1426,0.0100,0.1188,0.1088,0.0100,0.00027418
12,0.1531,0.1431,0.0100,0.1195,0.1095,0.0100,0.00026835
13,0.1515,0.1415,0.0100,0.1202,0.1102,0.0100,0.00026200
14,0.1497,0.1396,0.0100,0.1179,0.1079,0.0100,0.00025517
15,0.1505,0.1405,0.0100,0.1182,0.1082,0.0100,0.00024787
16,0.1484,0.1384,0.0100,0.1177,0.1077,0.0100,0.00024015
17,0.1478,0.1378,0.0100,0.1182,0.1082,0.0100,0.00023203
18,0.1475,0.1375,0.0100,0.1194,0.1093,0.0101,0.00022355
19,0.1473,0.1373,0.0100,0.1166,0.1066,0.0100,0.00021475
20,0.1479,0.1379,0.0100,0.1168,0.1068,0.0100,0.00020567
21,0.1464,0.1363,0.0100,0.1186,0.1086,0.0100,0.00019634
22,0.1455,0.1355,0.0100,0.1168,0.1068,0.0100,0.00018682
23,0.1457,0.1357,0.0100,0.1171,0.1071,0.0100,0.00017713
24,0.1470,0.1370,0.0100,0.1175,0.1075,0.0100,0.00016732
25,0.1459,0.1359,0.0100,0.1167,0.1067,0.0100,0.00015744
26,0.1461,0.1361,0.0100,0.1159,0.1058,0.0100,0.00014752
27,0.1438,0.1338,0.0100,0.1148,0.1048,0.0100,0.00013762
28,0.1439,0.1339,0.0100,0.1162,0.1062,0.0100,0.00012776
29,0.1434,0.1334,0.0100,0.1169,0.1069,0.0100,0.00011801
30,0.1426,0.1325,0.0100,0.1146,0.1046,0.0100,0.00010840
31,0.1441,0.1341,0.0100,0.1198,0.1097,0.0100,0.00009897
32,0.1439,0.1339,0.0100,0.1152,0.1052,0.0100,0.00008976
33,0.1428,0.1328,0.0100,0.1164,0.1064,0.0100,0.00008081
34,0.1422,0.1321,0.0100,0.1151,0.1051,0.0100,0.00007217
35,0.1419,0.1318,0.0100,0.1150,0.1050,0.0100,0.00006387
36,0.1403,0.1303,0.0100,0.1159,0.1059,0.0100,0.00005594
37,0.1400,0.1300,0.0100,0.1151,0.1051,0.0100,0.00004843
38,0.1397,0.1297,0.0100,0.1149,0.1049,0.0100,0.00004136
39,0.1386,0.1286,0.0100,0.1148,0.1048,0.0100,0.00003476
40,0.1398,0.1298,0.0100,0.1154,0.1053,0.0100,0.00002867
41,0.1392,0.1292,0.0100,0.1153,0.1053,0.0100,0.00002311
42,0.1394,0.1294,0.0100,0.1155,0.1054,0.0100,0.00001810
43,0.1375,0.1275,0.0100,0.1158,0.1058,0.0100,0.00001367
44,0.1392,0.1291,0.0100,0.1164,0.1064,0.0100,0.00000984
45,0.1379,0.1279,0.0100,0.1152,0.1052,0.0100,0.00000662
46,0.1376,0.1276,0.0100,0.1157,0.1057,0.0100,0.00000403
47,0.1382,0.1282,0.0100,0.1155,0.1055,0.0100,0.00000207
48,0.1381,0.1280,0.0100,0.1156,0.1056,0.0100,0.00000076
49,0.1384,0.1284,0.0100,0.1157,0.1057,0.0100,0.00000011
